Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,39:16,.710,.588,.353,.647,8.8,28.3,18.2,8.7,2.5,1.8,8.4,25.5,144,108,9.7
Kelly Olynyk,37:17,.704,.667,.250,.417,3.1,6.6,4.8,21.5,1.3,0.0,6.6,17.1,147,118,4.7
Jordan Clarkson,36:44,.453,.447,.526,.105,0.0,3.4,1.6,26.3,0.0,1.9,13.1,26.1,96,121,-3.9
Mike Conley,36:18,.292,.292,.500,.000,0.0,6.8,3.3,30.2,0.0,1.9,7.7,15.0,92,120,-7.8
Jarred Vanderbilt,28:00,.901,.857,.429,.429,0.0,17.6,8.5,5.6,7.0,2.5,10.7,14.0,159,101,11.0
Walker Kessler,22:16,.509,.500,.000,.333,31.0,16.6,24.1,13.3,0.0,6.3,0.0,13.0,144,114,2.4
Malik Beasley,20:58,.368,.400,.400,.200,0.0,5.9,2.8,13.3,2.4,0.0,26.9,14.9,67,117,-9.2
Collin Sexton,18:51,.340,.250,.300,.400,18.3,13.1,15.8,7.5,5.2,0.0,14.5,30.6,82,108,-6.7
Rudy Gay,15:59,.500,.500,.600,.000,14.4,15.4,14.9,18.2,6.2,0.0,28.6,18.4,95,105,0.4
Talen Horton-Tucker,9:12,.700,.700,.400,.000,0.0,40.2,19.4,0.0,5.4,0.0,28.6,31.9,84,100,3.0
Simone Fontecchio,0:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-7.4
Ochai Agbaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nickeil Alexander-Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Leandro Bolmaro,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
