Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LeBron James,39:33,.660,.615,.192,.577,0.0,25.7,13.4,28.5,1.1,0.0,8.4,35.9,127,105,10.6
Dennis Schröder,37:04,.533,.409,.273,.636,0.0,2.5,1.3,16.3,0.0,2.1,6.6,16.2,116,109,-2.8
Thomas Bryant,36:45,.529,.529,.059,.000,13.6,25.1,19.6,7.9,1.2,0.0,5.6,19.6,115,104,-1.3
Troy Brown Jr.,34:41,.750,.750,1.000,.000,2.9,10.6,6.9,7.0,3.8,0.0,0.0,9.2,152,101,7.3
Patrick Beverley,32:23,.429,.429,.571,.000,6.2,14.3,10.4,7.1,0.0,7.3,30.0,12.3,77,103,-3.2
Austin Reaves,22:09,.815,.857,.286,.714,0.0,25.0,13.0,44.4,2.0,0.0,9.8,18.4,158,103,16.5
Russell Westbrook,11:22,.125,.125,.375,.000,0.0,32.5,16.9,20.7,0.0,0.0,27.3,38.6,30,105,-30.5
Wenyen Gabriel,10:46,.579,.667,.000,1.000,9.3,0.0,4.5,0.0,0.0,7.3,18.8,19.7,97,104,-8.2
Juan Toscano-Anderson,9:24,.000,.000,1.000,.000,0.0,19.6,10.2,0.0,0.0,0.0,50.0,8.5,0,107,-18.0
Kendrick Nunn,5:51,.500,.500,.600,.000,0.0,15.8,8.2,0.0,0.0,0.0,0.0,34.1,95,108,-4.8
Max Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lonnie Walker IV,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
