Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,37:32,.810,.767,.100,.300,9.1,33.8,22.9,5.4,0.0,5.8,5.6,38.1,152,104,19.9
LeBron James,34:26,.522,.500,.269,.154,3.3,18.4,11.7,23.7,1.3,0.0,15.3,37.8,97,109,-2.4
Dennis Schröder,30:11,.400,.400,.200,.000,0.0,6.0,3.3,26.1,2.9,0.0,28.6,9.2,101,109,-0.5
Lonnie Walker IV,24:50,.919,.900,.400,.200,0.0,7.3,4.1,5.0,1.8,0.0,0.0,17.4,177,111,12.5
Patrick Beverley,24:05,.102,.000,1.000,.500,9.5,7.5,8.4,3.8,1.8,3.0,0.0,8.1,67,108,-6.3
Russell Westbrook,28:38,.375,.375,.125,.000,0.0,22.1,12.4,53.5,0.0,0.0,42.9,19.4,88,111,-4.0
Austin Reaves,24:35,.563,.500,.500,.250,0.0,11.1,6.2,0.0,0.0,0.0,0.0,7.2,116,114,-7.5
Troy Brown Jr.,16:42,.750,.750,.750,.000,0.0,5.4,3.0,12.4,0.0,0.0,0.0,9.5,156,115,3.9
Thomas Bryant,10:23,.347,.500,.000,1.000,11.0,34.9,24.3,0.0,0.0,0.0,0.0,22.1,77,108,-11.7
Wenyen Gabriel,8:36,.000,.000,1.000,.000,26.6,0.0,11.8,0.0,0.0,8.5,0.0,4.6,109,109,-8.6
Max Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kendrick Nunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Juan Toscano-Anderson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
