Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Brunson,41:38,.710,.625,.200,.450,0.0,7.5,3.8,18.2,0.0,0.0,4.0,26.0,148,120,3.9
RJ Barrett,40:51,.527,.478,.522,.261,7.8,12.8,10.3,17.1,0.0,0.0,7.2,29.4,115,119,-1.6
Julius Randle,38:33,.509,.500,.583,.333,8.3,35.2,21.9,15.7,0.0,2.4,30.4,22.3,88,113,-6.2
Mitchell Robinson,37:31,.753,.750,.000,1.500,14.2,11.1,12.7,3.7,6.4,5.0,0.0,7.7,178,102,7.4
Quentin Grimes,30:25,.758,.727,.727,.182,0.0,17.2,8.7,11.1,3.2,0.0,14.4,19.8,131,111,5.2
Immanuel Quickley,25:59,.511,.389,.778,.444,4.1,16.1,10.2,22.8,0.0,0.0,8.5,19.7,120,118,-3.6
Obi Toppin,9:27,.644,.500,1.000,.667,0.0,22.1,11.2,30.9,5.1,0.0,0.0,17.8,158,106,13.0
Isaiah Hartenstein,9:14,,,,,0.0,22.6,11.4,0.0,0.0,10.2,,0.0,0,109,-3.0
Miles McBride,6:22,.000,.000,.500,.000,0.0,0.0,0.0,0.0,7.6,0.0,0.0,13.6,0,104,-13.9
Ryan Arcidiacono,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Reddish,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Rose,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jericho Sims,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
