Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,35:18,.633,.500,.600,.600,0.0,14.8,7.6,54.3,3.9,0.0,7.3,15.8,147,106,8.0
Myles Turner,34:20,.711,.656,.188,.625,6.4,21.3,14.0,0.0,1.3,10.2,8.9,26.6,129,104,6.2
Andrew Nembhard,31:54,.830,.818,.455,.091,0.0,0.0,0.0,21.9,5.8,2.7,25.9,19.8,114,105,8.3
Buddy Hield,31:23,.461,.429,.571,.190,0.0,3.3,1.7,11.2,0.0,2.8,8.1,32.2,87,117,-5.8
Aaron Nesmith,31:17,.744,.714,.286,1.000,3.5,16.7,10.2,10.1,5.9,0.0,9.0,14.5,142,100,5.8
Bennedict Mathurin,26:03,.194,.111,.333,.333,4.2,16.0,10.2,15.3,0.0,3.4,16.2,19.3,55,113,-14.5
Oshae Brissett,23:00,.417,.417,.667,.000,14.2,31.8,23.2,0.0,2.0,0.0,25.0,14.2,80,104,-7.3
Jalen Smith,13:40,.902,.833,.333,.667,8.0,7.6,7.8,22.7,0.0,0.0,20.5,14.6,151,117,2.3
T.J. McConnell,9:07,.000,.000,.000,.000,0.0,11.4,5.9,0.0,5.1,0.0,33.3,13.4,0,104,-17.0
Chris Duarte,3:58,.000,.000,1.000,.000,0.0,52.6,26.9,31.8,0.0,0.0,0.0,20.6,31,102,-15.4
Goga Bitadze,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
