Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyrie Irving,38:08,.375,.375,.350,.000,7.1,7.9,7.5,25.0,1.3,2.1,13.0,25.3,86,117,-3.9
Royce O'Neale,33:25,.506,.500,.600,.200,5.4,23.9,14.2,34.6,1.5,0.0,21.6,17.4,106,113,3.7
Nic Claxton,33:11,.672,.700,.000,.600,13.6,24.1,18.6,0.0,0.0,9.8,19.2,19.8,113,109,1.1
Joe Harris,27:23,.444,.444,.889,.000,0.0,18.3,8.7,5.2,0.0,0.0,25.0,18.4,69,118,-11.2
Edmond Sumner,12:23,.410,.250,.000,.500,0.0,16.2,7.7,33.1,0.0,6.6,17.0,19.9,95,113,-5.0
Seth Curry,26:51,.724,.700,.533,.133,3.4,3.7,3.5,7.8,1.8,0.0,5.9,26.4,135,118,10.7
T.J. Warren,22:21,.483,.500,.500,.375,4.1,8.9,6.4,6.6,0.0,0.0,9.7,19.4,96,121,-5.9
Yuta Watanabe,21:23,.363,.333,.333,.333,8.5,14.0,11.1,13.0,0.0,0.0,0.0,13.5,103,119,-4.3
Patty Mills,12:26,.429,.429,.857,.000,0.0,8.0,3.8,0.0,4.0,0.0,0.0,23.6,90,112,-1.5
Day'Ron Sharpe,6:15,,,,,0.0,32.0,15.2,19.7,0.0,13.0,,0.0,231,104,5.3
Markieff Morris,6:14,.694,.500,.000,1.000,0.0,32.1,15.2,24.6,0.0,0.0,0.0,19.4,160,114,11.6
Kessler Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ben Simmons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Cam Thomas,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
