Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,39:53,.492,.357,.619,.476,2.4,16.7,8.3,53.4,2.5,4.4,19.1,33.5,99,103,10.1
Jerami Grant,39:19,.721,.643,.429,.429,0.0,17.0,7.0,0.0,0.0,0.0,10.7,20.2,129,113,3.9
Anfernee Simons,35:37,.504,.467,.467,.133,0.0,3.7,1.5,16.9,0.0,0.0,23.9,25.0,81,114,-6.0
Josh Hart,34:45,.463,.417,.333,1.000,8.1,15.3,11.1,9.4,0.0,0.0,10.4,11.8,105,113,-3.1
Jusuf Nurkić,23:51,.200,.200,.300,.000,19.7,33.5,25.4,0.0,2.1,0.0,9.1,19.6,63,106,-13.1
Drew Eubanks,24:09,.510,.600,.200,.400,3.9,27.6,13.7,15.3,2.1,3.6,0.0,10.4,116,104,4.6
Shaedon Sharpe,20:30,.167,.167,.500,.000,4.6,0.0,2.7,7.9,0.0,0.0,0.0,12.5,56,115,-9.1
Nassir Little,17:01,.601,.643,.286,.429,5.5,39.2,19.5,0.0,0.0,0.0,0.0,20.8,120,111,6.9
Jabari Walker,4:55,.000,.000,.000,.000,19.1,0.0,11.2,0.0,0.0,0.0,0.0,8.7,56,115,-9.6
Greg Brown III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trendon Watford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
